Mixture	SCLC01	SCLC02	SCLC03	SCLC04	SCLC05	SCLC06	SCLC07	SCLC08	SCLC09	SCLC10	SCLC11	SCLC12	SCLC13	SCLC14	SCLC15	SCLC16	SCLC17	SCLC18	SCLC19	SCLC20	SCLC21	SCLC22	SCLC23	SCLC24	SCLC25	SCLC26	SCLC27	SCLC28	SCLC29	SCLC30	SCLC31	SCLC32	SCLC33	SCLC34	SCLC35	SCLC36
CD8_naive_T_cells	3.20563699065642e-19	0	0	0.00642702817902824	2.26816103531376e-20	1.8303259395799e-19	1.08133909807292e-18	0.00701475155896982	0.00372582603371121	0	0	2.42579441575182e-19	0.00890533878750087	0.00565622071842604	1.14936158475212e-19	0.00119773159008784	9.56189440081153e-19	0	4.62855084029817e-20	0.00890985036984647	0	2.65489493346113e-19	1.65606173807672e-19	0.0029507126325897	9.68270473065993e-20	0	8.54634929692846e-19	0.00780183500958408	7.51056612776454e-22	5.40341973202724e-18	0.00512434297868333	2.54484728287566e-21	3.57651278474855e-19	0.000646068930819289	1.21672370372112e-19	0.0117617460380515
CD8_T_cells	0.0693648065965694	0.00136029332843643	0.0302152893069775	0.0781962633835853	0.0862798356598779	0.0269925750891236	0.108458927356257	0.115111009659384	0.0353516997893783	0.0265705638363505	0	0.0230400814656791	0.0924929358498563	0.132623073557152	0.0377892180395656	0.0344960346582403	0.0272080857744598	3.38581591309824e-18	0.136661706273307	0.131465527895526	0.0447848906775135	0.0217179995799516	0.0187386171510597	0.0156013821628261	0.073032082033724	0.0242468058933216	0.00588176913931034	0.151514016594933	0.0653789124793053	0	0.0101320170550122	0.011504323086298	0.0155063661390214	0.0607906250839786	0.0619353512768393	0.0939426430530303
CD8_Tcm	0.0811437418875779	0.0143500552723609	0	0.0768871795025586	0.165899875702956	0.0672432909536507	0.136035375775167	0.139679442722423	0.0170955190490549	0.0559744794085941	0	0.0740748721965113	0.0961741534914649	0.165464292597401	0.05524119192475	0.042330699213806	0.0301256165427591	0.0420601745766004	0.159169097684695	0.15048199539503	0.0777461291082589	0.0508433807218038	0.038995804469462	0.0635306467095135	0.0990801926706918	0.0294777982362687	0.0183734080808578	0.172798051317821	0.10014479590814	0.0431944648145638	0.0306302562782684	0.0442879304837726	0.0341021944500958	0.0821101212331951	0.0970689607740343	0.0863833481818184
CD8_Tem	2.98635763553604e-19	4.14387165477813e-19	1.25616512777951e-18	0.0154423124991916	0	0	1.60365774663655e-18	0.0130841069704361	0	0.00568727318181759	0	0.00385901503519229	0	0	0	0	6.82463503388291e-18	2.58433115609824e-17	0.0102408539753293	0.00656345985422731	7.91831748812336e-19	0	1.83823611791079e-18	2.68143130195783e-18	1.31115289474898e-18	2.41369661984654e-18	0	0.0348857990447744	2.19630518387067e-18	0	0	0	9.8158775620179e-18	0	0	0.0258813191815263
cDC	1.55384008811124e-18	0.143947902442213	0	0.0012814496432624	0.0676828313656562	0.0618485342668914	0	0.0520896583961244	0.0572521414299513	0.00493658360277542	0	0.0341233577803697	0.00371730066794294	0.0449979130904649	0.0864712162657414	0.0383650074196308	0	0	0.0275557058405758	0	0.00390222806819966	0.0864788556443573	0.0685269273579105	0	1.36369191575982e-18	0.0165928071990126	0.0499441908671882	0	0.0106929898731227	0.00207570004241385	0.0169013640070162	0.0583357375467765	0.024705430588676	0.0436029957995117	0.0478253342252731	0.0113864857304849
Chondrocytes	0	0.0188605997406159	0	0	4.21853094076583e-18	0.0115822906017994	0	0	2.73572097781754e-18	3.75825171474379e-19	0	2.62138022367585e-18	2.55614236308772e-19	0	5.08422408618188e-19	0	6.88641328435024e-18	0	0	3.21024457497915e-18	0	1.09687667381584e-18	0	1.06463623278401e-17	4.19280019235188e-18	0	0	0	2.31301123290138e-18	3.20277631744646e-18	2.07942116794704e-18	1.4840918212924e-18	0	0	4.41823542201278e-18	1.03944495728568e-17
Class_switched_memory_B_cells	0.0121772690732109	0.0316224060118676	0.0145948039451234	0.0150747950939608	0.0200495613487855	0.00087999958198169	1.15313866744214e-18	0.0215430485214081	0.0176881594576101	0.00523864937264233	0	0.0122813246249846	0.0607345670025312	0.0136303836568773	0.003394912876258	0.0238303434693794	0.0014400417693903	0	0.00346531547075968	0.00854974809915326	0.00744455873218954	0.0544291553198539	0.0175936466473251	1.76940456492182e-18	0.018262858525995	0.0263791976626922	0.0224067678526588	0	0.0371082193553637	0.0155559467849958	0.0177511555717052	0.0228138376775814	0.0111593444470542	0.00383509261271263	3.05037205769644e-19	0.0573393701292878
CLP	0.00652569954537773	0.0261401966727448	0	0.0133895449543665	0.0288375906635399	0.0116562786330233	0.0299933501981066	0.0299495741422356	0.00208356162100139	0.0347597301468129	0.0387212467934298	0.021141681212902	0.01907734469565	0.0478954852343343	0.0077621445707295	0.0179017858066826	0.00477326673529372	0.0329958945001032	0.0128438674153089	0.0398720236415055	0.0112889885842682	0.0236555770485291	0.0163974254772416	0.0473299132056285	0.0131120026072135	0.0409547319728902	0.0100690098051868	0.0406124064054441	0.0360145924836028	0.030499078364799	0.0286785078399622	0.0367749252092161	0.00719684604291996	0.00867345517663765	0.0216218003895516	0.031752341015604
CMP	0	9.56309445773959e-19	1.99663988625241e-18	0	1.33408496229067e-18	0.0028544984963118	0.00353536152995731	0.000700152489422072	0.0283052307477196	1.48254660391759e-19	0.194751682921787	0.00681763679533891	0.0170577106682331	0.000900769855321524	0.0133479594502317	1.10691931492883e-18	0.0443522419808383	0.0197833144361985	0	0.0038969081139493	0.0282588855934173	9.41232063222452e-19	0.0206609837685694	0.0157539002777513	0.00483531575823891	0.0354139997732405	0.029680299852136	7.16858839117911e-19	0	0.0208231617255234	1.3106843575579e-18	0.00812942960758622	0.137487500811403	4.05652652866282e-05	0.0665711396620561	1.05338294493804e-19
DC	0.000387889248563177	0.00415052953198765	0	0	0.000574441867992256	0.0109044330300948	0	0.0033920332378708	0	0.0156787175898426	4.15921668276632e-19	0.00604909356157933	0.000663522881786219	3.57195611915767e-20	0.00305280785499067	0.00968819428731146	1.06378192891774e-20	0	0.000259734568878122	7.33599229735136e-20	0	0.00321112437574141	0.00397615310307818	4.18918251033671e-19	9.96146047302164e-05	0	0	0	0.000775245843558598	1.11003646685548e-19	0.00127319508454687	0.00424553080208886	1.72739250926048e-20	0.00255259017549293	0	4.36263668625845e-20
