Mixture	MEL01	MEL02	MEL03	MEL04	MEL05	MEL06	MEL07	MEL08	MEL09	MEL10	MEL11	MEL12	MEL13	MEL14	MEL15	MEL16	MEL17	MEL18	MEL19	MEL20	MEL21
CD8_T_cells	8.43375150443729e-20	1.60657104863652e-18	2.12173053942532e-18	0	0	1.01456189606619e-18	0	0	1.95783880418815e-19	0	4.06459203104665e-19	4.73121450323189e-19	2.70780891945662e-20	0.0166982202124277	0.0372469328679357	0	1.1115774566908e-18	0	0	1.96183696614436e-19	0.00771916499983931
CD8_Tcm	0	2.26325311043428e-19	4.81098272200897e-18	0	1.13405232567139e-17	2.18956702725749e-18	2.29071985043683e-18	6.2103847032422e-18	2.57616775835208e-18	0	4.18336147085612e-18	1.36047553431263e-17	0	0.00510779730881899	2.33476415007311e-20	0	0	0	1.33520573390108e-17	0	0.0068999329650227
CD8_Tem	4.12386942353881e-18	0	0	1.62258705941506e-17	7.32529963165385e-18	0	0	0	0	0	0	1.13591226460598e-17	1.53254053684091e-17	5.95786371359038e-18	0	0	0	0	0	0	2.80601489690862e-18
cDC	0.0106256306256906	0.0355270926266229	0.0375758074399457	0.0870254005955514	0.0308694802112396	0.0458885428224119	0.0395308765323337	0.0687693796625707	0.0473957527487054	0.110537173312887	0	0.0488788272612787	0	0.0248207388094043	7.93191073102622e-19	0.0710381181571021	0.0937779992770662	0.059654553235001	0.00107066700042939	0.0196787401228479	0.0126193496177312
Chondrocytes	5.55962614996402e-18	0.00632391184680202	0	0	0	0	8.52330384689283e-18	8.44450102543505e-20	0.0088668207967228	2.53761049731929e-18	0.00479511944412596	6.54037875327466e-18	4.83452079925466e-18	3.50808672883083e-18	0	4.09468143979511e-19	1.7699518544685e-17	0	0	0	0
Class_switched_memory_B_cells	2.81193582140118e-18	0.0123939458407495	0.00036497031372376	0.0125073603813958	0.0130423714218963	9.3771585546916e-19	0.00761505765600009	9.27091231553969e-19	0	0.0033470519113774	2.48323616850895e-18	0.0140655050759293	0	9.69781238154702e-19	0.00472255451964292	5.08579220739186e-21	0.00123702270944784	0.00175325953016168	0.02148593653497	3.43689059923878e-19	0.0030876356911877
CLP	0.0481954767282355	0.0133628169665609	0.0139270688804682	1.56119073943837e-19	0.00781802129387454	1.71085549098555e-18	2.85718566848058e-05	0	5.41050609774015e-20	6.25894201611174e-20	0.00214738353095924	0.0168678398664585	2.24384532486223e-19	0.00931367730302163	0.00374493700412466	0	0	0.0176808894569774	0.0448819340583899	0.00397216127426096	0.00843251376275655
CMP	2.18150712305929e-21	4.01350090200687e-19	6.91274840738402e-19	0	0	2.580256251394e-18	0.000250370933166179	0.00111251173745827	0	0	8.64296718882481e-18	1.19137845812809e-18	0	6.13820071650347e-19	1.69501183890255e-18	0.00373468081335302	0.000879630369095835	0.00835817028802585	5.39591045229256e-19	0	0.0034340501211782
DC	0.00797271647749552	0.0143896529466102	0.00509727968197755	0	0.00697233226179287	0.0112872733511473	0.0136727160155431	0.0180247812987329	0.0117841200485284	0.0152479722085361	2.53812069425381e-18	0.00356185580856074	0	1.69801850923117e-20	3.13841617303364e-19	0.0109471829537537	0.0079322973211281	0.0158986684369585	2.71719801492676e-19	0.00133184634416514	0.00363968704026964
Endothelial_cells	0.00974841060762827	0.0114865570037676	0.0127151882142142	0	1.53307201725469e-20	8.62702375250877e-19	0.00659532241640048	0.00375202916054896	0.0133087993599309	0.0144837099534493	0.000117242974964315	0.0046020171547631	0.0293021819102724	3.55441792132093e-20	3.00180782508449e-18	0.0130490102195792	0.00759940216507531	0.00950431419941863	0.011463573923594	0.0206436365322287	0.00816448421416828
