Mixture	Utest1_RPKM	Utest10_RPKM	Utest2_RPKM	Utest3_RPKM	Utest4_RPKM	Utest5_RPKM	Utest6_RPKM	Utest7_RPKM	Utest8_RPKM	Utest9_RPKM	ctrl1_RPKM	ctrl10_RPKM	ctrl2_RPKM	ctrl3_RPKM	ctrl4_RPKM	ctrl5_RPKM	ctrl6_RPKM	ctrl7_RPKM	ctrl8_RPKM	ctrl9_RPKM
CD8_T_cells	1.72337762363326e-18	2.03575360789305e-19	0	6.10077146737591e-18	0	0	0	0	0	2.91261495280436e-18	0.0101896387853511	0	0.00211079760543803	0	3.5272211036352e-18	0	0.00977211697035294	1.56334282939131e-18	0	4.00654864019924e-19
CD8_Tcm	0	0	4.9142942016468e-20	7.18140749958098e-18	0	2.59529771737718e-18	0	0	3.49316375787218e-18	0	0.00308048790529264	0	0	1.48772939935713e-17	1.34700557629162e-17	0	2.53910723714353e-18	0	1.68027923026074e-17	3.44308515049589e-18
CD8_Tem	0	0	0.00190057595959343	6.52218854920436e-19	0	1.14700810347929e-18	5.68175018592296e-18	0	5.11411751241973e-18	0	7.08096808601556e-19	3.44086643831713e-18	5.23293935257564e-19	0	3.38204983786632e-18	1.35527648352833e-17	0	0	0	0
cDC	0.015290807332317	0.0298521055331659	0	0.0316297910291803	0.0180423865072186	0.0772704647590079	0.00805138870452731	0.00990186905361222	0	0.02713242348045	0.00574408601098597	0.0251871796477332	0.000413867971604171	0	0.0036967000985583	0.0359648113322796	0	0.00828678493928567	0.0634553975777535	0
Chondrocytes	0	0	0	0	3.91933491424854e-19	0.00478962202632651	0.000120015089700373	0	0	0	0	0.00525508685957564	0	0	0	0	4.15959662752584e-18	0	0.00242224268673569	1.48926664025494e-19
Class_switched_memory_B_cells	0	0.027500493267418	0.0374906716562081	0.0146759943203902	0.0382659828886036	0	0.0252956146256762	0.00633449172960717	0.0465670462232221	0.0127446764158906	0.026879768266997	0.0255433557890712	0.0220150626958606	0.0192936898934082	0.0733387667307187	0.0286655931272198	0.0381935146497345	0.0454311210174717	0.0144886310320567	0.0324510794459941
CLP	0.0856266953749968	0.0171103339356894	0.0467238030358169	0.0197166427293445	1.71658348437346e-20	0.00350575219949868	4.30076913664641e-19	0.103261265650181	0.091916378900885	0.0133082538096465	0.0866619229987134	0.00630714026591961	0.130068182377448	0.0837658522654087	0.0122764674644083	0.0387781128729055	0.0449400212240953	0.0782425595477199	0	0.0426562479280202
CMP	2.67722404223906e-18	0.0116004461614419	0.00408741337051021	0.00681068936852834	0.0322206047780819	0.0118000722454165	0.0101077549565797	1.02447872386152e-18	9.17007216726614e-18	0	0	0.00953613459007939	0	0.00568482691269974	0.0187487038064137	0	0.0128054389867209	0.000296156118813255	0.0200391015613354	0.00368068304876098
DC	4.50871649080096e-19	0.0152502856959456	6.2952938934436e-20	0.00115970102301379	0.00550042678065985	0.0207694544421038	0.00523766473853255	0	0	0.0162656240578492	0	0.00756921519829187	4.97065376714979e-19	0	0.00237245443431202	0.00606738551608969	0	0.000449941263204541	0.017374389069108	1.14890305650752e-19
Endothelial_cells	0.000793422269953163	0.00546014435479114	0	0.00842248164116304	0.0177845861880291	0.0241299422951279	0.0273663231584541	0	0	0	0	0.0145348264714954	0	0.00919842767559115	0.0043138829924628	0.0122322345124206	0.00503822147641468	0.0168899963898705	0.0205431456324784	0.0208496276193137
