Mixture	OV01	OV02	OV03	OV04	OV05	OV06	OV07	OV08	OV09	OV10	OV11	OV12	OV13	OV14	OV15	OV16	OV17	OV18	OV19	OV20	OV21	OV22	OV23	OV24	OV25	OV26	OV27	OV28	OV29	OV30
CD8_naive_T_cells	0	0.00284609490074991	0	0.00505678821733694	0.00952809305101889	0	0	0	0.00147285567060152	0	0.0119218473343501	0	2.03580531006076e-19	5.99619155968326e-20	8.61024395819243e-19	0.01748672649614	2.37689536759252e-18	6.97287920160131e-18	0	0.0167489208167405	1.95653308103441e-19	0.00260399570584164	6.41207148979355e-19	0	0.0147921428853401	0	1.14378974643633e-17	7.10804216682843e-19	0	0
CD8_T_cells	1.77429974861691e-19	0.0751224455190587	0.0407013620880997	0.023577907312716	0.046833288430386	0.0204785440429133	5.72902439614427e-18	0.0270819307059964	0.106720867211322	0.00721993747616015	0.0645270707965973	0.0742716512434568	0.0105226056811884	0.021791732284208	3.79332200441712e-18	0.0700583274785746	0	0	0.0131713007309774	0.0900849499635492	0.0355120047415307	0.0572646813190248	3.92935353309868e-21	1.03464892314621e-20	0.0493164586242968	0.0882776172936723	1.50453580206199e-18	0.0189281417747118	0.0994590373174056	0.182043773946189
CD8_Tcm	1.38991287989317e-17	0.0259511069158685	0	6.56788621569879e-20	0.00550161284188375	0	0	0	4.34694994704008e-19	7.53437000075939e-18	0.0109488685892186	0.0326103247232191	7.32093887084167e-18	2.25845137422328e-18	0	0.0160131693449672	3.61544298358137e-18	1.45916782516376e-17	7.23275991694555e-18	0.0531190334993587	0	0.0144042216559294	0	0	0	0.00342978494746014	0	4.79045304114689e-19	0	0.0550310741274953
CD8_Tem	0	1.04622611461294e-17	0	0	0	0	2.88711893740705e-17	0	0	2.93646751614542e-18	6.2206927274889e-18	0	0	0	1.26708742145243e-17	7.5605150361447e-18	0	0	0	3.68896295769122e-18	8.97918848481698e-18	0	0	0	0	0	0	2.14859541212588e-18	7.07115728680346e-19	1.61307913138668e-18
cDC	0.00597125583480339	0.0226258592131242	6.48702356372926e-20	0.0842447904676242	0.0320345970068225	1.43068800434939e-18	0.0292635948822381	0.055847368076507	0.0077759338566295	0.0354154334981533	0.0163135987774875	0.0352601753429462	0	0	0.00107421376164849	0.0128233608926105	0.0333106229958453	0	0	0.025613278596233	0.0800539883047534	0.0516819341886269	0	0	0.0120714822162218	0.0305680188079789	0	0.00343777283413909	2.70072215490214e-18	0
Chondrocytes	0	4.25806365456551e-19	3.84226255264908e-19	1.51294328940422e-18	1.09630944426302e-19	5.65801270544308e-20	1.39107157291529e-17	2.35477096878779e-18	0	0	8.5225818523299e-20	0.0017307119426112	0.00134661302661864	1.13656902318618e-18	6.50767704255924e-18	6.50677258793087e-20	0.00184314513231568	0	5.55455553828127e-19	0	1.09467834507115e-18	0	0	9.81240216106616e-18	0	0	0	6.89435140144961e-19	0.0127128454992353	0.00202263453657923
Class_switched_memory_B_cells	0.00511696713256327	0.0477560712406585	1.30537618739212e-18	0.0471349412432039	0.0115573471525284	0.0146537651678459	1.42810463497926e-18	0.093277222742607	0	0.0488525688582058	0.0300490253414794	2.80089676887251e-18	0.0418737428882234	0.0488437067587917	0	0.0103410426235407	0.0251622977528064	0.00103975134630422	3.84629046475997e-19	0.0428355989659018	3.00765367989535e-18	0.0330358951811543	0.0347400752026717	0	0.00223237705062602	0.00241485520432526	1.93394457116345e-18	0.00687332373956393	0.00124213432979422	0
CLP	0.0265277436021237	7.96913759721156e-19	0	0	0	0.00440935204080536	0.00142280378834073	0.00084215241619148	0	0.000402689303768769	0.00770703880911223	0.00848433476309773	8.66649868562346e-19	0.00532469285352561	0.000540769708279774	0.00372922967272568	0.00195766988399543	4.60314501819138e-20	1.00484328650097e-19	0.00161588255964915	0.0143977349110008	0.0098807141134096	0.00625631779999815	0	0.00915191498634725	0	0	0.00318919378463226	0.000543775393170741	6.02246866083938e-20
CMP	0.0194157783822249	0.0313985493646705	0	0.0119522284545435	6.10226032942923e-19	0.0177680413500705	0.021248667452654	0.00518827163699004	1.75403521114935e-20	0.0232811856290583	0.0143038404263166	0.0168668604826471	0.0133927718581502	0.0156729820464001	1.9295802747714e-18	2.35161432439751e-20	0.0484322804563526	0.0149366624276185	0	0.0107430326586367	3.21318920257406e-18	0	0.0074354169761278	0.0381945189018354	1.1182097924107e-19	0.0405639932231752	0.00470208571932043	0.0358773865019929	2.74383849157766e-18	0
DC	0	5.03461994810856e-19	0	0	0	1.73236670948157e-20	0	0.000197427073171168	0	0	2.65617611484388e-19	5.74531784330255e-20	1.19272919188389e-19	0	4.72112050521076e-19	0.00328578534867538	0	4.64188684191273e-19	1.29537278884236e-19	0	0.00484945968857873	0.000177807687670278	0	0	3.65356260271895e-19	0	0	0	3.11916181207776e-19	7.28505505708226e-19
Endothelial_cells	0.000265366967251464	0.00567550783116535	0.00291128952794992	0.0159285368965733	0	0.00441016219858721	0.0421323611224736	0.00320728346555502	1.77419616785894e-20	0.0193917016483562	0.0148560367849014	0	0.00035314889645668	0.0214635349770368	0.0271013021734942	0.0199331465617071	0.0196078333800153	0.0394399768641789	0.017743153775096	0.00219085234150005	0.021008245977366	0	0.00643255842098124	0.072770194986408	0.000791805774975607	1.62411048475153e-20	0.0828138216461907	0.0105036794216877	3.49643061572595e-19	0.0401104686846318
Eosinophils	2.08019403691393e-18	5.49698655263193e-20	4.52188391642939e-20	0	0	0	0	6.53304984320195e-18	8.16135653986876e-18	1.6870099937711e-18	4.27620268528425e-18	2.85514231118505e-18	0	0	8.88330124723825e-18	2.99087863013023e-19	2.10836774986837e-18	0.000447519093608063	0.0197376271897554	0	1.63257993159888e-18	0.0174983090176615	6.80090681845277e-18	0	7.24174351739261e-18	1.73252518952465e-18	5.50234367608712e-18	5.02017348597989e-19	0	0
Epithelial_cells	4.43743924299775e-19	0	0.0720542186805101	0.000448949013848097	0.182052112211503	0.00122383216286461	0.0283235503734327	0	0.117928516274922	0.0814161287754148	0.00111946447571737	0.00606073216454181	0.0833167222321319	0.019503975854841	0.055202051608855	0.0155455135365788	0.00240909920556381	0.0239451097613443	0.00438082242161342	7.33779289321593e-19	0.170628351109467	0.00128883378632267	2.8447369409202e-19	0.00606912340975873	0	0	0.0210939837185633	0.108709136778916	0.00506290636214898	0.00200307932141204
Erythrocytes	0	0.00463231317089954	6.335848329488e-20	0	3.90319423701665e-21	0.000325532689514813	0.000979719631931299	0.000279398279945849	0	0.00124617422567201	0.000221389416494011	0.000708255962777761	0	0.00608669019139984	0	0.00289110426097148	0.00253682029177677	0	0.00190209972767234	0.000137898857866792	0	0	0	0.00357421225715208	0	0.00560615883049001	0	9.81159585316412e-05	2.35534720541204e-19	1.26799505331199e-18
Fibroblasts	0.0669034995119461	0	0.0246288642924898	8.37439659823105e-18	0.0211369190353951	9.52128013500929e-19	0.0517224476891462	0.0122425700400052	1.37490972669876e-17	0.0119194028870028	0	0.0585148301877293	0.0307592393804786	0.00868863608141409	1.19864324068253e-18	0.0392317127659337	2.41125893982902e-18	4.24375849186748e-18	0	5.50066969909857e-18	4.0990909502547e-18	1.35400613035495e-18	0	0.0310359723022136	0	2.50917423909566e-18	0	0.0824210873085475	0.199611573815344	0.00835502842566363
GMP	3.59117660008917e-17	0.0544549156699297	0.140883869309973	0.0381518716989034	0.0233483153764555	0.0287965977468148	1.26883584861694e-18	0.0181092120354987	0	0.0136587814665108	0.0372492891179597	0.0437453409839555	0	0.0442110977847811	0.0471715243600508	0.0332507415385938	0.0665618894709704	0.0529003544198652	4.72538217668529e-18	0.00988669126326956	0.00230488640880951	0	0.0405487892818623	0.0946795885376293	0.0542917233033335	0.13104162653554	0.037200719685771	0.0115726151985519	8.95374902754581e-18	1.97391424692538e-18
Hepatocytes	0.00654803765781235	0.00349972452541089	0	0.00133257877163284	0.000700157432439448	0.000979247020778396	0.00371280909598117	0.00213751924708877	1.48400351540725e-19	0.00313585461548425	0.000185144754775095	0.0013547186634822	0.00377506966834066	0.0032014685366418	0	0.00150859398979299	0.00333222176842743	0.00313336923577093	0.00221460296292049	0.00219588220513268	0	0.000828420137133246	0.00336090886072186	0.00258110858559005	0.0036641632673716	0	0.00171099277793656	0.00028367993052072	0.00600136916475912	0.00431145709754498
HSC	0.00751243268028983	0.0957786894438194	0.124619873021144	0.0405882483047691	4.31733533438669e-19	0.0170404196470501	1.35806217644726e-18	0.0764534559830047	0.0673133549178641	0.114040753004384	0.102726880787587	0.0106346284956947	0.0430400496322272	0.088642684053984	0.19703519510081	0.0660540013753638	0.0975074472817036	0.0916726489748758	0.0186141090741001	6.02515826253787e-19	0.0282376137650291	0.00366269658083258	0.00731802472272249	0.0146916490210251	0.0774400284849853	0	0.125854898405883	8.22936007750251e-19	0.0587258346996661	0.00857617073452356
iDC	1.39448149745014e-18	0.0133845469429552	0.00825558120239188	0.0107884777310899	0.0463950905788964	9.79234871463728e-20	0.0108711551271913	0.0809639538030163	1.83098494138949e-18	0.0236095312841913	0.00997570653552999	0.081910417728024	6.00449880368415e-20	0.0607417823377937	0.000153243364955451	0.0982237922381997	5.08832654224045e-19	0.0173601077157511	0.0369328487280694	2.81081947902961e-20	0.0174988411455326	0.103976204518458	0	0	5.83456083073557e-19	0	2.21603573948491e-18	0.0866042335328665	3.36139447466186e-18	0.00409051443213357
Keratinocytes	1.75432523924346e-18	0	0.00241783705747821	0	0.0119532840210914	0	0	0	0.00646080855168082	0.0117128767993	4.88477102259745e-19	0	0.00273138844474322	1.34929499527472e-18	0.00174747323195706	0	4.33984251312558e-19	9.97984800953933e-19	0	0	0.0234855268889251	0	2.85333302575152e-18	4.51953830828588e-19	0	0	1.35289986163138e-19	0.00476745944855042	4.20472014381642e-19	0
ly_Endothelial_cells	8.68698237511679e-19	0.00333134838722065	0	0.00547244377682163	0	4.68598900708778e-20	0.0123858801610292	0	0	0.00144294347900983	0.00482350438549044	0.000112081620187858	0.00072265565343882	0.00932507197743079	0.0132464608647079	0.00238581511122462	0.0139669381069274	0.0139647975380101	0.0117449155696386	0.000233756997397463	0.00391327697087382	0.00152718583101342	0.00166991599632143	0.0254625839274346	0.001345816601476	0	0.0365003006854481	7.08827375177565e-21	0	0.00966735830640902
Macrophages	0	1.107025925146e-18	1.79947887983412e-19	0	0	3.48341017413958e-19	0	0	5.99914237287405e-19	0.00406181721193095	0.00306230194687061	2.44613834838499e-18	0	0	0	0	0	9.46692488408905e-20	0	0	0.0108104639097394	0	2.51852352877882e-19	0	0	2.05684207317419e-19	7.61855402161674e-19	0	7.40218422131812e-19	3.08836739566377e-18
