Mixture	HD1_AD	HD2_AD	HD3_AD	HD4_AD	HD5_AD	HD6_AD	GBM_A1	GBM_A2	GBM_A4	GBM_A5	GBM_A6	GBM_A7	GBM_A8
Endothelial_cells	6.95238523742629e-20	0.0286957447984938	0.00928447510334975	0.00339472007647271	0.040375311455852	0.0309058960581056	0.00568668223458101	0.0038897050453544	0.0100615985636993	0.00726619904009974	0.0215770615613875	0.0169937232479144	0.00993889219031292
Eosinophils	7.28499970175754e-18	7.41360097633788e-19	0.00542676861610204	0	0	7.41268637196189e-18	6.92798543956646e-19	3.58309011714782e-19	0	0.000902722096594702	0.00514179886733182	0	0.00301579838321045
Epithelial_cells	0.00203893755465118	0.00247145356876647	0	0.000331287388056005	1.06139538170052e-21	1.38301096263376e-18	3.7279001412686e-20	1.80819750749776e-20	1.30857473896886e-20	1.57159598794852e-20	0.000484275163681023	9.52442767892883e-20	2.48690063354501e-23
Erythrocytes	0.00381566406498605	0.000473462349081181	0.00486552399230021	0.0158106056193227	2.38172890396145e-19	0	0.00933266065152507	0.0032809225500626	0.0012984538347746	0.00443178964013545	0.00729886646430938	4.79121574244948e-05	0.00168509493510899
Fibroblasts	9.3754201514511e-18	2.52331930472139e-18	0.00260479275667401	0	0.0879835316361573	0.0396378159064973	6.50956797234035e-19	0	0	0.00329808454663614	0.0163086106523601	0.000305015210116412	0.0134692136702272
GMP	3.1079333376873e-18	0	0	0	0	0	0	1.50815838500087e-17	0	0.0213680367100705	0	1.26961047128467e-17	3.45065587511254e-18
Hepatocytes	5.55290367770537e-18	9.41761128738437e-05	0.00351039748401813	1.59394315712812e-18	0.002385574511572	0	2.39565493872975e-19	1.42630147759624e-19	0.00236968449762132	0.0048677935635812	0.00323738318325606	0.00607246480646466	0.00304519715814018
HSC	0.0118326338065117	0.200422079051269	0.112790665997566	0.129008670105899	0.0293386387324446	0	0.0634370217877726	0.0569039068314166	0.102077838033447	0.129311332547015	0.0785642821600343	0.072226548825179	0.127255554029036
iDC	0.0415179423793878	0.282192341403037	0.341222136339983	0.163250632757464	0.203031472644133	0	0.268219371254838	0.197508779876138	0.353104205940191	0.281675746734959	0.315705183330188	0.353853213791206	0.320797802074551
Keratinocytes	0	0.000293456700300296	0.000491368662634245	0	8.86683740582395e-20	8.1341607845813e-19	2.4614780441042e-19	0	4.70178525556929e-19	0	2.88360021022382e-20	0	0.000158919041712519
ly_Endothelial_cells	0	0.0144298041075524	0.00441092867642401	7.56814936479357e-20	0.0200235619900202	0	0.000700480345239327	5.10788301577015e-05	0.00557006874511486	0.00151779850581783	0.00612572721949176	0.00604563987355412	0.00378046104498632
Macrophages	1.60750320009868e-18	8.55487880825983e-19	0	0	0	0	0	2.18338683382545e-18	5.36407152624496e-18	0	0	0	0
Macrophages_M1	0	0.000712338791535033	0.000503383683151041	7.28250182428294e-19	1.41460230052032e-20	2.22319374151358e-18	0	0	0.00131654298319	0.00206781360546739	0.00169727521296525	0.00263424669727197	0.00206428468425591
Macrophages_M2	0	1.69331321693432e-20	1.25195743487341e-18	0.00949391951673421	0.0114376631021896	0	0	2.26863012062886e-19	0	0	2.34903594054214e-19	8.79344788302188e-20	0
Mast_cells	0.00987769795018971	0	0	3.75311936029267e-18	0.000714141661693017	0.0261599655933893	0.00115581339944275	2.03349885171487e-19	0.00203991290525734	0.000301166527283801	0.000578827694624192	2.82150150200818e-05	0
Megakaryocytes	0	0.00577935648139715	0.000892404458531498	0.000923284379569018	5.07612614684595e-20	0.0493119357238085	0.0159761347503872	0.000556060092852452	0.00386008743676085	0.0249570443948709	1.2841933806422e-19	0.000214134789370213	0.000248920677554502
Melanocytes	1.18719288481732e-20	0.00048487688475036	0.00165637741880929	1.02498507980816e-19	0.00112624805512813	0.00152468678559606	3.86741179797678e-20	9.69406985601486e-05	0.00367157574142397	0.00234927352472723	0.00147116084626428	0.00520646168445406	0.00296249895700058
Memory_B_cells	0.0414630228212251	0	0	0.062679689993998	0	0	0	0.0471685939105353	0	0	0.00668741888066617	5.00926312551124e-18	4.73272794173853e-18
MEP	0.0371578926175157	0.0394126383306551	0.0644868541844647	0.0357185246304316	0.0318322662999054	0	0.0466305522579688	0.0407286578075013	0.0243155609769308	0.0286581472195076	0.0379591837323947	0.0443843491899188	0.0472712371731787
Mesangial_cells	2.27489350861797e-20	9.49584944341695e-20	0.00192259210666788	0	0	0	0.00162547436873231	3.33446731791447e-19	9.72154924732415e-20	2.78497221855312e-19	0	0	0
Monocytes	0.0424175780637241	0	0	0	3.19416004736222e-18	0.145730226926574	0	2.47065807709344e-18	9.33505294731753e-19	0	4.75029615173101e-18	1.38100416939311e-17	0
MPP	0	1.57638409219582e-19	0	1.96691680516097e-17	2.14167839699114e-18	0	0	1.29891456781163e-18	0	3.62709733505396e-18	0	0	0
