Mixture	KIRC01	KIRC02	KIRC03	KIRC04	KIRC05	KIRC06	KIRC07	KIRC08	KIRC09	KIRC10	KIRC11	KIRC12	KIRC13	KIRC14	KIRC15
Keratinocytes	0	0	0	0	0.00081079879765671	5.55560955136797e-19	0.000337457170681504	0	0	0	0	0	0	1.90876018994487e-18	0
ly_Endothelial_cells	0.00223635245634127	0.0039030832470255	0.00501626074715183	0.0224113391731279	0.00184897900160725	0	3.07260182392734e-05	0.00358261701749225	3.71001773980379e-19	0.0154533624537377	0	2.08002111659411e-20	0	0.00296042275357928	2.16299461531167e-19
Macrophages	0	0	0	0.00875453862407528	1.5712167285376e-20	0	1.25974743981247e-19	2.66101236318366e-18	9.22753908699951e-20	0.000704787522553743	2.79050723669922e-19	0	0.00333222577666312	1.5847764434901e-18	9.01991468400152e-18
Macrophages_M1	0	0	0.000193249487726447	0.0122278837139481	0.00233663614802058	0.00976640316216501	7.67436131915946e-19	0.00219524973998809	4.41185076545236e-19	0	0	3.59688251919941e-18	0.00114994878557516	1.19414496016924e-19	1.71224956652807e-18
Macrophages_M2	0.0156842375156661	0.00998450821440458	0.0182004320680814	0.0556754946889104	0.0226984140546178	1.00490533110996e-18	0.0108248385482944	0	0.00218742726659575	0.00531137991314583	0.00135269444812463	0.00567614397424004	0.00149533126712463	2.08035282216282e-19	0.000972038152500539
Mast_cells	0.00735505686876543	0.0120144970316702	3.53076546036092e-19	0	0.0174454668136879	0.0163111094594845	0	0.00384607865104243	0.0102977075266304	0	0.00577483946931278	0.0109041853057409	0.00637794411613879	0.00635833523298775	0.0069518529216411
Megakaryocytes	0.0424452705540017	0.0203273453842654	0.0301965856533016	0.034623544965089	0.0537503669157831	4.9215860486347e-20	9.89917216998391e-21	0.020786943592319	0.0605530480619325	0	0.0182452895736114	0.0296649845673176	0.0146149985753042	8.47923219847004e-20	0.0028902046742804
Melanocytes	2.16369752850444e-19	0.000239303645336381	3.43823940818431e-18	0.000781689148512111	0.00341921770646414	0	0.000819281164661433	0.00126607559188424	0	0.00780403879178136	0	0.000254254801087448	0	0.000929644189216572	4.79538698400155e-19
Memory_B_cells	9.4637468992086e-18	0.00388614419222222	0.00954740534687606	7.14718850099188e-19	0	5.06832132651535e-20	1.545455556487e-18	0.0197668317629611	3.2921563719939e-18	0	0.0223829558731846	0.00225622391059081	0.0397555729822443	0.00412582861983222	4.4268855014903e-18
MEP	0.0174633980887564	0.0158275299705344	0.0324938402064151	0	4.02728820503605e-18	0.032467570288713	0	0.0331218901192578	0.0168025816309375	0.0118767719983161	0.0551098729214672	0.0552376269106313	0.031630987294866	5.58073170974644e-19	0.0325551743258789
Mesangial_cells	3.70327588824065e-18	1.2739088468008e-19	2.7730945039745e-18	2.00541454024803e-17	4.64011472199185e-19	4.90673529460343e-19	0	0.000506766325483049	5.74643410745236e-19	0	0.0144970728516906	0	6.19092272521491e-18	0.00737701893881513	0
Monocytes	0.0141736338266412	0	0	0	0	3.67155194204871e-18	1.54297038499767e-19	5.65553435433331e-18	0.00733358387991711	0.00691866058790029	4.77126192032289e-18	1.62307386514319e-18	0	6.02539717261484e-19	1.61910768779635e-17
MPP	1.34684070225864e-19	0.0166519308635136	0.0158134691068323	5.65539417032595e-18	3.19699277621924e-18	4.24530499579268e-18	0	3.34165376893947e-20	7.34073513131449e-18	7.864276680776e-20	0.00410260430584177	0	0.00378494997959341	3.43554292645355e-19	0
MSC	0.162535490795268	0.0570598001897664	0	0.0423694700652943	0.185320119156464	0.142043799970617	0.171642556608405	0.114578902397847	0.017761281572901	0.114168186212655	0	0.0517514683642009	0.125101925384941	0.160842931238038	0
mv_Endothelial_cells	0.00676863829107531	0.00990020112684601	0.00204445708583802	0.00890231408999619	0	0.0150495955596134	0.000440208646480512	0	1.10116393091599e-18	0.0191752394368734	0	0	9.57489973287408e-19	0.0106355307861457	0
Myocytes	2.4219188968092e-19	1.67097902971085e-19	0.000840065577132303	0.035603710841892	0.0283726257782559	4.51084740009402e-19	0	0.00176935452969839	0	0.0257917246919969	2.04953808279887e-20	2.30570083317571e-18	0.00247267630169595	1.12439637633851e-18	0.00265741282944706
naive_B_cells	2.50815313492238e-18	0.00194579154407434	0	0	2.21956918238525e-20	2.38421327661005e-19	1.63346099846105e-18	0.013853208361773	0	2.55864780121045e-19	0.0194256081084587	0.00338891064569257	0.0127103257678088	0.0101949337149577	3.16308652659581e-20
Neurons	0	2.24597128904893e-20	3.94484979925849e-21	0.00100612986545517	1.27464059770021e-20	6.11777340980167e-05	0.00129897107509282	3.66086561525086e-05	0	0.000150549848956801	0	1.65469018415887e-20	3.64376153093336e-20	0	0
Neutrophils	0.00592778268880088	0.00587158796533148	0.00174172936334809	0	0.0150988749892606	0	0	0	0.0533379946067543	0	0.0064450083392886	1.81921561136737e-19	3.91451837070729e-19	0.00822533866282096	0.020694861850648
