Mixture	ML01	ML02	ML03	ML04	ML05	ML06	ML07	ML08	ML09	ML10	ML11	ML12	ML13	ML14	ML15	ML16	ML17	ML18	ML19	ML20	ML21	ML22	ML23	ML24	ML25	ML26	ML27	ML28
Fibroblasts	1.02702396040792e-17	1.08067023135217e-17	0	0	3.73119680496867e-19	0	0.0164126230898048	3.27911208187654e-20	0	0	1.28538152762323e-18	8.27085547076809e-18	0.0284112837434922	0.000985215702163542	3.56410340634316e-18	0.0329364197737617	0.0753035866889328	6.92135548041302e-19	0.0167260312928543	8.68860015672008e-18	0	3.77752658684439e-18	0	0	9.48446100920098e-19	2.53456626467834e-17	4.35489326221348e-18	0.0371245222044601
GMP	0	4.04458295610919e-19	0	0.0518488641470692	1.20629140369444e-18	0.0451913284766034	4.42894293198865e-18	0	9.09575886101195e-19	0.0499806045096215	0.0162477003049678	0	0	0.0209596932481311	0.031599270067808	0.125685462438572	0.0128398613019462	0.0348638781743579	4.27744921152141e-18	0.0262310394540866	0.0414228182998418	0.0232632813024445	0.108688955797461	0.131563883499186	0.0223284796965816	0.00480118479615528	0.108360943255237	0.0132747790399256
Hepatocytes	0.00258037797657318	0	0	0.000603435606243164	1.34671471531243e-19	0.000655893706347314	4.41337824515697e-19	0	0	0	0	0	0.000803379890230832	0.000715647745228062	0	0	3.0367086693227e-19	0.0026142539145861	0.000237109956027327	4.63610262221512e-19	0	0	0	0	1.55012864561316e-19	0	1.25139998046144e-19	0
HSC	0.00312434708830818	0.142936129613562	0.061224019853372	0.158525060003395	0.17240767865625	0.281457860803106	0.0682730363285112	0.250596098437974	0.0868418992292616	0.111285792803533	0.141439541566751	8.38362177344752e-19	0.0238123691581434	0.121204585430759	0.0675532215242583	0.16965808031669	0.128228955287766	0.0217442375774608	0.0842961210480651	0.148658996451068	0.240105639707815	0.149191115726312	2.45113584897256e-18	0.0781899398054729	0.105748297931199	0.0524650957226022	0.0497280056512666	0.0718350269144729
iDC	3.69408952078649e-19	0.137563483758253	0.20870343361245	0.0301005083828094	0.0281591893884386	0	0.0365832353504399	0.0142096957476754	0.0736557291388373	9.73688595741653e-18	0.00536904221142612	0.00328483143171238	4.95543275333985e-18	0	0.0165441668010393	2.16309499950015e-18	0.0452228635215042	0.00144704918871655	0.0256595610397724	0.048806193308515	0	9.35794516274279e-18	2.73897844946248e-18	0.0341891600071449	0.166356563895704	0.0753740215243902	0	0.00905759101725279
Keratinocytes	0.000174489290097011	0	0	0	0	0.000164189305269198	1.13642522854033e-05	0	1.35938290805877e-19	7.64780174498953e-19	0	0	0	1.05589812722076e-19	1.02830590894834e-22	0	8.03649311921672e-05	0	0	0	5.48938922211036e-19	1.71840799996407e-19	0	0	0	0	4.17921953666872e-20	0
ly_Endothelial_cells	0.00460608381409917	0.0223106643035147	0.00294180570523332	0.00622123936869879	0.0370197019087289	0.0382103783617905	2.79177572060126e-21	0.0015152636432599	0	0.0169916889576986	1.26692987772882e-19	0.000185646053950741	1.00300899458454e-20	0.00312676641359506	0.000184949837857365	0.00709401809197684	0.0167058869696285	0.00270560673592608	0	0	0.0300926168302037	0.0218687311945192	1.78808302216051e-19	0.00190693406614269	0.00770554661417637	0.00688917350193826	0	0.0106255125906452
Macrophages	0.0124344447782548	2.97658125592051e-19	0.00390626646826098	0.000653491961103355	0.00174224588020774	0.00777289774930585	5.57853225245197e-19	0	0.0095739930823675	0.00197783570615964	0.0153236470105077	1.20966775569015e-20	0.0113661163272624	0.0189466714676604	0.0121336782625878	0.0300605190990136	0	0.00145889870200374	0.00371733460329391	0	0.00023125999160741	0	0.0201451193268734	0.0294171038090143	6.06923013229007e-19	0	0.0164447859000449	0.0080784184257247
Macrophages_M1	0.0184878356780317	0.00144023335825928	0	0	0.00603116847615879	0	0	0.000279341408498989	1.14360113602126e-18	0.00284771657189717	0.016050459017823	3.0238321251685e-20	0.0120766539675011	0.0251106871215716	0.00695141869617557	0.016638787978301	4.83953683300615e-21	0	0.00361272301117415	0	0	0.00257029333936462	0.0097260241763078	0.011400734875372	0	0	0.00905337062797852	0.000922179777746716
Macrophages_M2	0.00747446069937435	0.00683162677160149	1.32218471342607e-18	0.00532284036532106	0	0.0161341700510104	9.16602919500674e-22	0.00515008640856896	0.00645110211675423	2.94561382547168e-19	0.0268723100447988	1.19529068362672e-19	0	5.69852059705706e-19	0.00179181833012056	0.0062804585916133	0	0	1.67342892059045e-18	0	0.0058251683833411	1.74595918264483e-18	2.04623969252686e-18	0.011832285345029	8.30696257858872e-20	3.11645426271917e-18	0	5.48826905840226e-19
