genename	species	cancername	sample	method
lncRNA AC007193.8	Homo sapiens (human)	colon cancer	LIM1863 cells	Western blot,RT-qPCR,etc.
RP5-940J5.9	Homo sapiens (human)	colon cancer	LIM1863 cells	Western blot,RT-qPCR,etc.
RP11-290D2.6	Homo sapiens (human)	colon cancer	LIM1863 cells	Western blot,RT-qPCR,etc.
ZFAS1	Homo sapiens (human)	colon cancer	LIM1863 cells	Western blot,RT-qPCR,etc.
C17orf76-AS1	Homo sapiens (human)	colon cancer	LIM1863 cells	Western blot,RT-qPCR,etc.
GAS5	Homo sapiens (human)	lung cancer	Patients with NSCLC(n= 64)	qRCR,Western blot,etc
HULC	Homo sapiens (human)	liver cancer	Human HCC cell lines (HepG2 and SMMC7721) and a normal hepatic cell line (LO2) 	Western blot,qPCR,etc.
HOTAIR	Homo sapiens (human)	cervical cancer	The cervicovaginal lavage samples of 30 cervical cancer patients	RT-qPCR,etc.
MALAT1 	Homo sapiens (human)	cervical cancer	The cervicovaginal lavage samples of 30 cervical cancer patients	RT-qPCR,etc.
MEG3 	Homo sapiens (human)	cervical cancer	The cervicovaginal lavage samples of 30 cervical cancer patients	RT-qPCR,etc.
TRAF6	Homo sapiens (human)	ovarian cancer	Blood samples from 5 healthy controls and 5 pre-therapy EOC patients	Luciferase,RT-qPCR,Western blot,etc.
NF-kB	Homo sapiens (human)	ovarian cancer	Blood samples from 5 healthy controls and 5 pre-therapy EOC patients	Luciferase,RT-qPCR,Western blot,etc.
MMP2 	Homo sapiens (human)	ovarian cancer	Blood samples from 5 healthy controls and 5 pre-therapy EOC patients	Luciferase,RT-qPCR,Western blot,etc.
LUCAT1	Homo sapiens (human)	liver cancer	Matched HCC and cirrhotic tissues were obtained from 60 patients (46 males and 14 females) undergoing liver resection for HCC.	RT-PCR,Luciferase,etc.
CASC9	Homo sapiens (human)	liver cancer	Matched HCC and cirrhotic tissues were obtained from 60 patients (46 males and 14 females) undergoing liver resection for HCC.	RT-PCR,Luciferase,etc.
Linc-ROR	Homo sapiens (human)	liver cancer	The human hepatocellular carcinoma cell lines,including HepG2,Huh7,SMMC-7721 and Bel-7402 cells 	RT-PCR,etc.
UCA1-201	Homo sapiens (human)	bladder cancer	A total of 59 TCC patients (age [mean ± SD] =61.28±13.01 years),24 normal subjects (age [mean ± SD] =68±13.56 years)	Western blot,RT-qPCR,etc.
UCA1-203	Homo sapiens (human)	bladder cancer	A total of 59 TCC patients (age [mean ± SD] =61.28±13.01 years),24 normal subjects (age [mean ± SD] =68±13.56 years)	Western blot,RT-qPCR,etc.
MALAT1	Homo sapiens (human)	bladder cancer	A total of 59 TCC patients (age [mean ± SD] =61.28±13.01 years),24 normal subjects (age [mean ± SD] =68±13.56 years)	Western blot,RT-qPCR,etc.
LINC00355	Homo sapiens (human)	bladder cancer	A total of 59 TCC patients (age [mean ± SD] =61.28±13.01 years),24 normal subjects (age [mean ± SD] =68±13.56 years)	Western blot,RT-qPCR,etc.
UCA1	Homo sapiens (human)	colorectal cancer	The human Caco2 cell line	RT-qPCR,Western blot,etc.
SOX2-OT	Homo sapiens (human)	lung cancer	Blood samples were col-lected in EDTA-K2 tubes 	RT-qPCR,Western blot,etc.
RN7SL1	Homo sapiens (human)	liver cancer	plasmacfRNA libraries containing 31 HCC,11 healthy donors(HDs),and 3 chronic hepatitis B (CHB) samples (15CHB individuals pooled into 3 libraries)	RT-qPCR,etc.
ATB	Homo sapiens (human)	glioblastoma	The A172 and U251 glioma cells 	RT-qPCR,Luciferase,Western blot,etc.
lncRNA-p21	Homo sapiens (human)	prostate cancer	Thirty patients with PCa (median age 64 ± 6) and 49 patients with BPH (median age 68 ± 9) 	RT-PCR,etc.
MALAT1	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking,while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
HOTAIR	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking,while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
HOTTIP	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking,while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
AGAP2-AS1	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking,while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
ATB	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking,while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
TCF7	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking,while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
FOXD2-AS1	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking,while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
HOXA11-AS	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking,while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
PCAF1	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking,while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
BCAR4	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking,while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
LINC02418	Homo sapiens (human)	colorectal cancer	Six human CRC cell lines (DLD-1,SW480,HT29,HCT116,SW1116,and LOVO)	RT-qPCR,Western blot,Luciferase,etc.
GAS5	Homo sapiens (human)	lung cancer	A549,H1299,and 95D cells	RT-qPCR,Luciferase,Western blot,etc.
AHIF	Homo sapiens (human)	glioblastoma	The human GBM cell lines U87-MG (glioblastoma of unknown origin; the cell line was authenticated by short tandem repeat profiling),U251-MG,A172 and T98G 	RT-qPCR,Western blot,etc.
CCAL	Homo sapiens (human)	colorectal cancer	Human CRC cell lines SW480 (RRID:CVCL_0546) and HCT 116 (RRID:CVCL_0291)and human embryonic kidney cells HEK293T (RRID:CVCL_0063) 	RT-qPCR,Western blot,RIP,etc.
GAS5	Homo sapiens (human)	colorectal cancer	CRC tissues	RT-qPCR,etc.
UCA1	Homo sapiens (human)	colorectal cancer	five human CRC cell lines (HT-29,SW480,RKO,HCT116,and DLD1) and a normal colonic epithelial cell line (HCoEpiC).	RT-qPCR,Luciferase,Western blot,RIP,etc.
BCAR4	Homo sapiens (human)	colorectal cancer	Sera from 76 preoperative colorectal cancer patients,76 age- and sex-matched healthy subjects,and 20 colorectal adenoma patients without colorectal cancer	qPCR,etc.
HANR	Homo sapiens (human)	liver cancer	Human hepatocellular cancer cells (HepG2,Huh-7) and293T cell	Luciferase,RT-qPCR,Western blot,etc.
ENSG00000248932.1	Homo sapiens (human)	liver cancer	A total of 600 patients including 200 HCC patients,200 CH patients and 200 healthy controls 	RT-qPCR,etc.
ENST00000440688.1	Homo sapiens (human)	liver cancer	A total of 600 patients including 200 HCC patients,200 CH patients and 200 healthy controls 	RT-qPCR,etc.
ENST00000457302.2	Homo sapiens (human)	liver cancer	A total of 600 patients including 200 HCC patients,200 CH patients and 200 healthy controls 	RT-qPCR,etc.
