genename	species	cancername	sample	method
CLN8	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
AKT1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FBL	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ETF1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MECOM	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZCCHC24	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CCNY	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
OAF	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FAM171A1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FOXK1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
KCTD20	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RPL23P8	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FDX1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZNF652	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
LMTK2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
WDR37	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TRAK1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SACM1L	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SPEN	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
KDM1A	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FNBP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZC3H13	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ARHGAP26	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZCCHC14	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FLNB	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
LARP4B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CYFIP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FAM120A	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PLEKHM2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NCAPD3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
USP22	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SYNM	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
DOCK9	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HAUS5	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZNF629	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NCS1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NOMO1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CAPN7	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SRRM2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
WBP2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GTPBP4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZMYND8	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NUP62	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
EDC4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TMEM2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SH3BP4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FKBP8	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
BRD1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RNASEH1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FZD2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
XRCC6	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
BRI3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
DCAF13	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZNF473	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GALNT2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
WWTR1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PARS2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GORASP2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PTCD1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TOR1AIP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CCDC69	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GBE1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SEZ6L2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PPP1R14B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NARF	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CNNM4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GCNT2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PHF2P1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
AMFR	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
B4GALT1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ANKRD1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GHITM	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FOXP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CACYBP	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SERP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TOR1B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GNA12	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GNAI3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GOT2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RASSF3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
KCTD1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
C3orf38	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PRR18	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ATP11C	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MKNK2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GPX4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TRIB2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GIT1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ATAD2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
C16orf72	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ANKRD11	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GTF2H1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ABR	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
H1F0	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HIST1H1B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
H2AFX	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ANXA1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ANXA2P2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TAX1BP3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
UBE2K	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HNRNPD	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HNRNPH3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HOXB6	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
APBA2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HPCAL1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HRAS	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HSPA1B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
HSPD1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
DNAJB1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
UBAC2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PKD1P1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NANOS1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZNF850	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
IGF2R	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
APP	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ILF3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
IMPDH1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
IMPDH2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ITGA6	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
IRS1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ITGB1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
JUN	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GUSBP4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
KCNMA1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
KRT19	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
YPEL2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PLEKHM3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RND3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
LAMB1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
LAMP2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
LASP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
LBR	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
LCN2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ARHGDIA	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
LIFR	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
LMO7	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZBTB34	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
LRP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TM4SF1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MAP1B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MAP2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MARS	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MAZ	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MCM7	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MGST1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MLLT4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ASNA1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ASPH	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MYO1C	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NAB2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NACA	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NAP1L4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NDUFB1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RERE	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NF2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NFATC3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NFYA	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CNOT4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SLC11A2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NT5E	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
P4HB	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PRDX1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PCDH7	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MRPL2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
THAP4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GLTP	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CRIM1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MEX3C	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SPG21	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZBTB7A	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GDE1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GET4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PDHB	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
FAM96B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ASB1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SERPINF1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PHB	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ATP6V0C	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TPCN1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ATP6V0B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PLK1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ATP6V0A1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ERRFI1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
POLR2I	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
POLR2L	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SASH3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
XRN1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GTPBP2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PPARG	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZNF770	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
C1orf159	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TMCO3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MRPL20	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
UACA	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TRIM68	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
CDCA8	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PPP2R1A	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
DCUN1D2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
KIRREL	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
YY1AP1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ADI1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PPP4C	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
AGPAT5	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
OTUD5	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SMPD4	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
URGCP	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PRKACA	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
IPO9	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ATF7IP	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PARVA	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
WDR12	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PRKCA	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
DCAF6	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
WWC3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PRKDC	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
MEPCE	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
LRRC8A	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PPAN	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
C10orf2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ZC3HAV1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
KCMF1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
PSMB3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
